iter	TotalF1	MultiClass
519	0.7942242552	0.9533612712
520	0.7942165441	0.9524077575
521	0.7954322918	0.9513782655
522	0.7953467866	0.9511041223
523	0.7961470308	0.9500721443
524	0.7968489973	0.9487097596
525	0.7964090398	0.9474594893
526	0.7967715118	0.9471170609
527	0.7978216019	0.9462342449
528	0.7976473478	0.9453859182
529	0.7978973587	0.9448212342
530	0.7979852889	0.9435419751
531	0.7987133036	0.9426642506
532	0.7995836622	0.9421015198
533	0.8008083252	0.9409846535
534	0.8012340638	0.9398630894
535	0.8015073444	0.9392506645
536	0.8019719867	0.9381563749
537	0.8022414026	0.9377237864
538	0.8019701905	0.9374439367
539	0.8021352197	0.9369894981
540	0.8024649487	0.9359856797
541	0.8029330004	0.9345435755
542	0.8031189127	0.9340925434
543	0.8032091969	0.9336999778
544	0.8035503716	0.9326356885
545	0.8039246421	0.9322628232
546	0.8042015676	0.9317178877
547	0.8047230974	0.9312499453
548	0.8058089706	0.9300520489
549	0.8062368784	0.9294938984
550	0.8069786636	0.9281860376
551	0.8077885227	0.9270804001
552	0.8080426792	0.9266567901
553	0.8084642387	0.9253565899
554	0.808969275	0.9248432858
555	0.8092218557	0.9242909544
556	0.809209763	0.9228845148
557	0.8101263357	0.922044786
558	0.8105213923	0.9216474456
559	0.8107778404	0.9211994786
560	0.8099083896	0.9204378249
561	0.8105253241	0.9191745623
562	0.8107634319	0.918860525
563	0.8111211638	0.9184691794
564	0.8111752634	0.9174961243
565	0.8108131757	0.9167520054
566	0.8121182818	0.9162418995
567	0.8119706128	0.9159336945
568	0.8129902612	0.9143372331
569	0.8127466845	0.9139786129
570	0.8134005694	0.9127140576
571	0.8138562649	0.9123033574
572	0.814536995	0.9111302248
573	0.8149751138	0.910676801
574	0.8160151772	0.909237465
575	0.8165426913	0.9086467549
576	0.816279926	0.9079633045
577	0.8163686514	0.9076055012
578	0.8161875213	0.9072433612
579	0.8165136754	0.9069008974
580	0.8166906973	0.9060258612
581	0.8162854419	0.9052492765
582	0.8172373597	0.9048324141
583	0.8174846992	0.9040082389
584	0.8178242826	0.9031171682
585	0.8173855115	0.9026447294
586	0.8182308375	0.9021846215
